ipu,device_iterations,micro_batch_size,image_size,precision,avg_latency_ms,avg_throughput_fps,min_latency_ms,max_latency_ms,std_latency_ms,min_throughput_fps,max_throughput_fps,std_throughput_fps
True,1,1,128,half,1.030,480.260,1.000,2.000,0.170,457.394,573.462,16.947
True,1,2,128,half,1.772,620.110,1.000,5.000,0.756,254.555,931.136,165.699
True,1,4,128,half,1.673,816.441,1.000,3.000,0.490,345.566,1471.040,329.790
True,1,8,128,half,2.446,2079.176,2.000,14.000,1.525,524.977,2526.499,384.751
True,1,16,128,half,4.010,2742.473,3.000,15.000,1.942,613.146,3464.220,833.621
True,1,32,128,half,7.020,2875.670,5.000,19.000,3.975,1301.139,4620.391,904.260
True,1,1,224,half,2.257,113.218,1.000,3.000,0.520,88.016,190.321,21.003
True,1,2,224,half,2.406,240.176,2.000,3.000,0.491,149.234,399.191,69.161
True,1,4,224,half,3.604,432.260,3.000,5.000,0.598,315.237,576.953,62.628
True,1,8,224,half,5.267,422.451,4.000,6.000,0.505,258.838,633.258,75.762
True,1,16,224,half,8.416,868.545,7.000,16.000,0.957,564.044,1154.660,124.052
True,1,1,320,half,2.356,98.753,2.000,3.000,0.479,59.183,161.413,26.127
True,1,2,320,half,5.762,181.963,2.000,40.000,6.852,46.938,514.702,94.876
True,1,4,320,half,6.079,232.380,4.000,27.000,3.284,135.197,618.743,68.815
True,1,8,320,half,8.851,365.539,8.000,13.000,0.813,258.192,537.645,57.300
False,1,1,128,half,25.987,41.981,21.834,252.150,22.748,3.965,45.718,4.721
False,1,2,128,half,24.630,87.497,21.264,211.053,18.788,9.474,93.889,9.678
False,1,4,128,half,24.611,172.958,21.437,193.464,16.919,20.671,186.238,16.507
False,1,8,128,half,25.335,338.916,21.467,205.746,18.219,38.871,372.025,37.989
False,1,16,128,half,27.213,631.903,22.683,206.007,18.293,77.645,704.156,82.215
False,1,32,128,half,26.025,1234.061,24.763,43.141,2.281,740.691,1290.171,75.587
False,1,1,224,half,24.071,44.616,20.775,195.676,17.344,5.109,48.049,5.097
False,1,2,224,half,24.543,88.043,20.906,214.175,19.131,9.336,95.486,9.957
False,1,4,224,half,25.743,168.303,21.616,226.376,20.277,17.665,184.718,19.856
False,1,8,224,half,27.084,320.486,22.136,225.943,20.409,35.398,360.785,40.373
False,1,16,224,half,27.400,633.224,23.958,192.205,17.934,83.216,666.741,90.392
False,1,32,224,half,41.768,767.085,41.064,67.301,2.590,474.961,778.566,30.296
False,1,1,320,half,24.361,44.312,20.936,208.470,18.600,4.795,47.680,5.112
False,1,2,320,half,24.921,86.318,21.202,202.469,17.979,9.875,94.165,10.221
False,1,4,320,half,25.830,168.838,21.290,233.457,21.044,17.129,187.535,21.821
False,1,8,320,half,26.773,324.843,23.238,230.799,20.861,34.653,343.690,40.216
False,1,16,320,half,45.385,397.046,39.277,467.541,45.016,34.193,406.967,48.948
False,1,32,320,half,75.048,426.169,74.606,81.042,0.675,394.413,428.694,3.658